t                 field             
    0.00000000E+00    0.00000000E+00
    1.00100100E-01    9.98660772E-03
    2.00200200E-01    3.95475015E-02
    3.00300300E-01    8.75018293E-02
    4.00400400E-01    1.51933987E-01
    5.00500501E-01    2.30270139E-01
    6.00600601E-01    3.19381037E-01
    7.00700701E-01    4.15707017E-01
    8.00800801E-01    5.15400201E-01
    9.00900901E-01    6.14478203E-01
    1.00100100E+00    7.08983208E-01
    1.10110110E+00    7.95140081E-01
    1.20120120E+00    8.69507160E-01
    1.30130130E+00    9.29113747E-01
    1.40140140E+00    9.71578772E-01
    1.50150150E+00    9.95205908E-01
    1.60160160E+00    9.99051335E-01
    1.70170170E+00    9.82961443E-01
    1.80180180E+00    9.47578964E-01
    1.90190190E+00    8.94317304E-01
    2.00200200E+00    8.25304075E-01
    2.10210210E+00    7.43296108E-01
    2.20220220E+00    6.51569331E-01
    2.30230230E+00    5.53787900E-01
    2.40240240E+00    4.53857834E-01
    2.50250250E+00    3.55770983E-01
    2.60260260E+00    2.63445567E-01
    2.70270270E+00    1.80569656E-01
    2.80280280E+00    1.10453847E-01
    2.90290290E+00    5.58990162E-02
    3.00300300E+00    1.90844350E-02
    3.10310310E+00    1.48071408E-03
    3.20320320E+00    3.79105940E-03
    3.30330330E+00    2.59231809E-02
    3.40340340E+00    6.69929792E-02
    3.50350350E+00    1.25359863E-01
    3.60360360E+00    1.98692282E-01
    3.70370370E+00    2.84060870E-01
    3.80380380E+00    3.78055455E-01
    3.90390390E+00    4.76921290E-01
    4.00400400E+00    5.76709036E-01
    4.10410410E+00    6.73432531E-01
    4.20420420E+00    7.63228014E-01
    4.30430430E+00    8.42508479E-01
    4.40440440E+00    9.08106951E-01
    4.50450450E+00    9.57403008E-01
    4.60460460E+00    9.88427447E-01
    4.70470470E+00    9.99940953E-01
    4.80480480E+00    9.91483602E-01
    4.90490490E+00    9.63393236E-01
    5.00500501E+00    9.16791963E-01
    5.10510511E+00    8.53541339E-01
    5.20520521E+00    7.76168001E-01
    5.30530531E+00    6.87762736E-01
    5.40540541E+00    5.91857021E-01
    5.50550551E+00    4.92281945E-01
    5.60560561E+00    3.93015178E-01
    5.70570571E+00    2.98022073E-01
    5.80580581E+00    2.11097265E-01
    5.90590591E+00    1.35713090E-01
    6.00600601E+00    7.48808772E-02
    6.10610611E+00    3.10306560E-02
    6.20620621E+00    5.91408627E-03
    6.30630631E+00    5.34485349E-04
    6.40640641E+00    1.51067491E-02
    6.50650651E+00    4.90487676E-02
    6.60660661E+00    1.01004678E-01
    6.70670671E+00    1.68899028E-01
    6.80680681E+00    2.50019680E-01
    6.90690691E+00    3.41126153E-01
    7.00700701E+00    4.38579070E-01
    7.10710711E+00    5.38485533E-01
    7.20720721E+00    6.36854637E-01
    7.30730731E+00    7.29756887E-01
    7.40740741E+00    8.13481169E-01
    7.50750751E+00    8.84682997E-01
    7.60760761E+00    9.40518112E-01
    7.70770771E+00    9.78756101E-01
    7.80780781E+00    9.97869493E-01
    7.90790791E+00    9.97094775E-01
    8.00800801E+00    9.76462895E-01
    8.10810811E+00    9.36798023E-01
    8.20820821E+00    8.79684629E-01
    8.30830831E+00    8.07404189E-01
    8.40840841E+00    7.22844050E-01
    8.50850851E+00    6.29382085E-01
    8.60860861E+00    5.30751768E-01
    8.70870871E+00    4.30893028E-01
    8.80880881E+00    3.33794865E-01
    8.90890891E+00    2.43336003E-01
    9.00900901E+00    1.63129952E-01
    9.10910911E+00    9.63806577E-02
    9.20920921E+00    4.57545151E-02
    9.30930931E+00    1.32738583E-02
    9.40940941E+00    2.36173776E-04
    9.50950951E+00    7.16227036E-03
    9.60960961E+00    3.37754752E-02
    9.70970971E+00    7.90126859E-02
    9.80980981E+00    1.41066837E-01
    9.90990991E+00    2.17459087E-01
    1.00100100E+01    3.05137838E-01
    1.01101101E+01    4.00600637E-01
    1.02102102E+01    5.00034086E-01
    1.03103103E+01    5.99466173E-01
    1.04104104E+01    6.94924942E-01
    1.05105105E+01    7.82597155E-01
    1.06106106E+01    8.58980620E-01
    1.07107107E+01    9.21024090E-01
    1.08108108E+01    9.66249151E-01
    1.09109109E+01    9.92849222E-01
    1.10110110E+01    9.99761726E-01
    1.11111111E+01    9.86710533E-01
    1.12112112E+01    9.54216991E-01
    1.13113113E+01    9.03579102E-01
    1.14114114E+01    8.36819667E-01
    1.15115115E+01    7.56605490E-01
    1.16116116E+01    6.66140838E-01
    1.17117117E+01    5.69039454E-01
    1.18118118E+01    4.69180189E-01
    1.19119119E+01    3.70552066E-01
    1.20120120E+01    2.77094926E-01
    1.21121121E+01    1.92542048E-01
    1.22122122E+01    1.20271017E-01
    1.23123123E+01    6.31688049E-02
    1.24124124E+01    2.35164394E-02
    1.25125125E+01    2.89789154E-03
    1.26126126E+01    2.13679870E-03
    1.27127127E+01    2.12635638E-02
    1.28128128E+01    5.95141409E-02
    1.29129129E+01    1.15360556E-01
    1.30130130E+01    1.86571944E-01
    1.31131131E+01    2.70303664E-01
    1.32132132E+01    3.63210933E-01
    1.33133133E+01    4.61582437E-01
    1.34134134E+01    5.61488585E-01
    1.35135135E+01    6.58938484E-01
    1.36136136E+01    7.50039358E-01
    1.37137137E+01    8.31152052E-01
    1.38138138E+01    8.99036403E-01
    1.39139139E+01    9.50980674E-01
    1.40140140E+01    9.84909877E-01
    1.41141141E+01    9.99468661E-01
    1.42142142E+01    9.94075455E-01
    1.43143143E+01    9.68945697E-01
    1.44144144E+01    9.25083233E-01
    1.45145145E+01    8.64240211E-01
    1.46146146E+01    7.88847092E-01
    1.47147147E+01    7.01915563E-01
    1.48148148E+01    6.06918228E-01
    1.49149149E+01    5.07649891E-01
    1.50150150E+01    4.08075969E-01
    1.51151151E+01    3.12174083E-01
    1.52152152E+01    2.23775172E-01
    1.53153153E+01    1.46410458E-01
    1.54154154E+01    8.31703831E-02
    1.55155155E+01    3.65811641E-02
    1.56156156E+01    8.50387367E-03
    1.57157157E+01    6.00992424E-05
    1.58158158E+01    1.15871395E-02
    1.59159159E+01    4.26245303E-02
    1.60160160E+01    9.19324387E-02
    1.61161161E+01    1.57541190E-01
    1.62162162E+01    2.36829948E-01
    1.63163163E+01    3.26631411E-01
    1.64164164E+01    4.23358329E-01
    1.65165165E+01    5.23146810E-01
    1.66166166E+01    6.22010657E-01
    1.67167167E+01    7.16000615E-01
    1.68168168E+01    8.01362118E-01
    1.69169169E+01    8.74685281E-01
    1.70170170E+01    9.33041104E-01
    1.71171171E+01    9.74098481E-01
    1.72172172E+01    9.96217315E-01
    1.73173173E+01    9.98514039E-01
    1.74174174E+01    9.80896906E-01
    1.75175175E+01    9.44069658E-01
    1.76176176E+01    8.89503412E-01
    1.77177177E+01    8.19377895E-01
    1.78178178E+01    7.36494371E-01
    1.79179179E+01    6.44163741E-01
    1.80180180E+01    5.46074284E-01
    1.81181181E+01    4.46144324E-01
    1.82182182E+01    3.48365706E-01
    1.83183183E+01    2.56644337E-01
    1.84184184E+01    1.74644158E-01
    1.85185185E+01    1.05640783E-01
    1.86186186E+01    5.23906521E-02
    1.87187187E+01    1.70209167E-02
    1.88188188E+01    9.44471991E-04
    1.89189189E+01    4.80351439E-03
    1.90190190E+01    2.84438890E-02
    1.91191191E+01    7.09212471E-02
    1.92192192E+01    1.30538770E-01
    1.93193193E+01    2.04914950E-01
    1.94194194E+01    2.91078725E-01
    1.95195195E+01    3.85588160E-01
    1.96196196E+01    4.84667938E-01
    1.97197197E+01    5.84360178E-01
    1.98198198E+01    6.80682530E-01
    1.99199199E+01    7.69787260E-01
    2.00200200E+01    8.48114952E-01
    2.01201201E+01    9.12536694E-01
    2.02202202E+01    9.60479067E-01
    2.03203203E+01    9.90026945E-01
    2.04204204E+01    9.99999995E-01
    2.05205205E+01    9.89999831E-01
    2.06206206E+01    9.60425922E-01
    2.07207207E+01    9.12459640E-01
    2.08208208E+01    8.48017068E-01
    2.09209209E+01    7.69672457E-01
    2.10210210E+01    6.80555393E-01
    2.11211211E+01    5.84225786E-01
    2.12212212E+01    4.84531659E-01
    2.13213213E+01    3.85455437E-01
    2.14214214E+01    2.90954862E-01
    2.15215215E+01    2.04804894E-01
    2.16216216E+01    1.30446916E-01
    2.17217217E+01    7.08512658E-02
    2.18218218E+01    2.83985755E-02
    2.19219219E+01    4.78467893E-03
    2.20220220E+01    9.52866917E-04
    2.21221221E+01    1.70562067E-02
    2.22222222E+01    5.24514274E-02
    2.23223223E+01    1.05724616E-01
    2.24224224E+01    1.74747699E-01
    2.25225225E+01    2.56763451E-01
    2.26226226E+01    3.48495635E-01
    2.27227227E+01    4.46279877E-01
    2.28228228E+01    5.46210047E-01
    2.29229229E+01    6.44294290E-01
    2.30230230E+01    7.36614491E-01
    2.31231231E+01    8.19482788E-01
    2.32232232E+01    8.89588887E-01
    2.33233233E+01    9.44132302E-01
    2.34234234E+01    9.80934215E-01
    2.35235235E+01    9.98524524E-01
    2.36236236E+01    9.96200557E-01
    2.37237237E+01    9.74055149E-01
    2.38238238E+01    9.32972929E-01
    2.39239239E+01    8.74594987E-01
    2.40240240E+01    8.01253311E-01
    2.41241241E+01    7.15877641E-01
    2.42242242E+01    6.21878430E-01
    2.43243243E+01    5.23010611E-01
    2.44244244E+01    4.23223599E-01
    2.45245245E+01    3.26503531E-01
    2.46246246E+01    2.36714028E-01
    2.47247247E+01    1.57441859E-01
    2.48248248E+01    9.18536659E-02
    2.49249249E+01    4.25694618E-02
    2.50250250E+01    1.15579751E-02
    2.51251251E+01    5.80039124E-05
    2.52252252E+01    8.52893115E-03
    2.53253253E+01    3.66323735E-02
    2.54254254E+01    8.32456986E-02
    2.55255255E+01    1.46506871E-01
    2.56256256E+01    2.23888832E-01
    2.57257257E+01    3.12300448E-01
    2.58258258E+01    4.08209992E-01
    2.59259259E+01    5.07786219E-01
    2.60260260E+01    6.07051414E-01
    2.61261261E+01    7.02040288E-01
    2.62262262E+01    7.88958373E-01
    2.63263263E+01    8.64333602E-01
    2.64264264E+01    9.25155005E-01
    2.65265265E+01    9.68992982E-01
    2.66266266E+01    9.94096363E-01
    2.67267267E+01    9.99462359E-01
    2.68268268E+01    9.84876615E-01
    2.69269269E+01    9.50921782E-01
    2.70270270E+01    8.98954233E-01
    2.71271271E+01    8.31049886E-01
    2.72272272E+01    7.49921278E-01
    2.73273273E+01    6.58809206E-01
    2.74274274E+01    5.61353274E-01
    2.75275275E+01    4.61446497E-01
    2.76276276E+01    3.63079795E-01
    2.77277277E+01    2.70182567E-01
    2.78278278E+01    1.86465725E-01
    2.79279279E+01    1.15273458E-01
    2.80280280E+01    5.94496434E-02
    2.81281281E+01    2.12242431E-02
    2.82282282E+01    2.12422552E-03
    2.83283283E+01    2.91256812E-03
    2.84284284E+01    2.35577794E-02
    2.85285285E+01    6.32351570E-02
    2.86286286E+01    1.20359731E-01
    2.87287287E+01    1.92649579E-01
    2.88288288E+01    2.77216979E-01
    2.89289289E+01    3.70683766E-01
    2.90290290E+01    4.69316275E-01
    2.91291291E+01    5.69174489E-01
    2.92292292E+01    6.66269429E-01
    2.93293293E+01    7.56722499E-01
    2.94294294E+01    8.36920421E-01
    2.95295295E+01    9.03659575E-01
    2.96296296E+01    9.54273970E-01
    2.97297297E+01    9.86741741E-01
    2.98298298E+01    9.99765917E-01
    2.99299299E+01    9.92826228E-01
    3.00300300E+01    9.66199890E-01
    3.01301301E+01    9.20950530E-01
    3.02302302E+01    8.58885699E-01
    3.03303303E+01    7.82484666E-01
    3.04304304E+01    6.94799378E-01
    3.05305305E+01    5.99332550E-01
    3.06306306E+01    4.99897742E-01
    3.07307307E+01    4.00467018E-01
